"Date","Time","Cloud Condition","Rain Condition","Brightness Condition","Cloud Value","Cloud Sensor Temperature","Rain Value","Brightness Value","Ambient Temperature","Rain Heating Percentage","Rain Sensor Temperature","Heating Status","Switch Status","Read Cycle","Timeout Errors","Safe Status","Wind Condition","Wind Value",
"2018-06-19","20:46:12","Clear","Dry","Very Light","-15,9","19,4","2688","1","19,4","15%","23,2","","Opened","3,713","0","Safe","Windy","5,3",
"2018-06-19","20:46:22","Clear","Dry","Very Light","-16,0","19,3","2688","1","19,3","15%","23,2","","Opened","3,705","0","Safe","Calm","5,0",
"2018-06-19","20:46:33","Clear","Dry","Very Light","-15,9","19,3","2688","1","19,3","15%","23,2","","Opened","3,744","0","Safe","Windy","5,7",
"2018-06-19","20:46:42","Clear","Dry","Very Light","-16,0","19,2","2688","1","19,2","15%","23,1","","Opened","3,697","0","Safe","Windy","6,2",
"2018-06-19","20:46:53","Clear","Dry","Very Light","-15,9","19,2","2688","1","19,2","15%","23,1","","Opened","3,698","0","Safe","Windy","6,5",
"2018-06-19","20:47:03","Clear","Dry","Very Light","-15,8","19,2","2688","1","19,2","15%","23,1","","Opened","3,698","0","Safe","Windy","7,2",
"2018-06-19","20:47:13","Clear","Dry","Very Light","-16,0","19,2","2688","1","19,2","15%","23,1","","Opened","3,697","0","Safe","Windy","7,7",
"2018-06-19","20:47:23","Clear","Dry","Very Light","-15,9","19,1","2688","1","19,1","15%","23,1","","Opened","3,696","0","Safe","Windy","7,7",
"2018-06-19","20:47:33","Clear","Dry","Very Light","-15,9","19,1","2688","1","19,1","15%","23,1","","Opened","3,744","0","Safe","Windy","7,3",
"2018-06-19","20:47:43","Clear","Dry","Very Light","-15,9","19,1","2688","0","19,1","15%","23,0","","Opened","3,697","0","Safe","Windy","7,2",
"2018-06-19","20:47:53","Clear","Dry","Very Light","-15,8","19,0","2688","1","19,0","15%","23,0","","Opened","3,696","0","Safe","Windy","7,0",
"2018-06-19","20:48:03","Clear","Dry","Very Light","-15,8","19,0","2688","1","19,0","15%","23,0","","Opened","3,699","0","Safe","Windy","6,3",
"2018-06-19","20:48:13","Clear","Dry","Very Light","-15,9","19,0","2688","1","19,0","15%","23,0","","Opened","3,946","0","Safe","Windy","6,5",
"2018-06-19","20:48:23","Clear","Dry","Very Light","-15,9","18,9","2688","1","18,9","15%","23,0","","Opened","3,697","0","Safe","Windy","6,2",
"2018-06-19","20:48:33","Clear","Dry","Very Light","-16,0","18,9","2688","1","18,9","15%","22,9","","Opened","3,727","0","Safe","Windy","6,0",
"2018-06-19","20:48:43","Clear","Dry","Very Light","-15,8","18,9","2688","1","18,9","15%","22,9","","Opened","3,713","0","Safe","Windy","6,0",
"2018-06-19","20:48:53","Clear","Dry","Very Light","-15,6","18,9","2688","1","18,9","15%","23,0","","Opened","3,689","0","Safe","Windy","5,3",
"2018-06-19","20:49:03","Clear","Dry","Very Light","-15,7","18,8","2688","1","18,8","15%","23,0","","Opened","3,712","0","Safe","Windy","5,7",
"2018-06-19","20:49:13","Clear","Dry","Very Light","-15,8","18,8","2688","1","18,8","15%","22,9","","Opened","3,699","0","Safe","Windy","6,3",
"2018-06-19","20:49:23","Clear","Dry","Very Light","-15,9","18,8","2688","1","18,8","15%","22,9","","Opened","3,697","0","Safe","Windy","6,7",
"2018-06-19","20:49:33","Clear","Dry","Very Light","-15,8","18,8","2688","1","18,8","15%","22,8","","Opened","3,744","0","Safe","Windy","7,2",
"2018-06-19","20:49:43","Clear","Dry","Very Light","-15,9","18,7","2688","1","18,7","15%","22,7","","Opened","3,712","0","Safe","Windy","7,5",
"2018-06-19","20:49:53","Clear","Dry","Very Light","-15,7","18,7","2688","1","18,7","15%","22,7","","Opened","3,697","0","Safe","Windy","8,5",
"2018-06-19","20:50:03","Clear","Dry","Very Light","-15,7","18,7","2688","1","18,7","15%","22,7","","Opened","3,698","0","Safe","Windy","8,2",
"2018-06-19","20:50:13","Clear","Dry","Very Light","-15,8","18,7","2688","1","18,7","15%","22,7","","Opened","3,696","0","Safe","Windy","7,3",
"2018-06-19","20:50:23","Clear","Dry","Very Light","-15,7","18,7","2688","1","18,7","15%","22,7","","Opened","3,713","0","Safe","Windy","6,3",
"2018-06-19","20:50:33","Clear","Dry","Very Light","-16,0","18,7","2688","1","18,7","15%","22,7","","Opened","3,760","0","Safe","Windy","5,7",
"2018-06-19","20:50:43","Clear","Dry","Very Light","-15,8","18,6","2688","1","18,6","15%","22,7","","Opened","3,713","0","Safe","Windy","5,2",
"2018-06-19","20:50:53","Clear","Dry","Very Light","-15,8","18,6","2688","1","18,6","15%","22,7","","Opened","3,696","0","Safe","Calm","4,5",
"2018-06-19","20:51:03","Clear","Dry","Very Light","-15,9","18,5","2688","1","18,5","15%","22,6","","Opened","3,729","0","Safe","Windy","5,8",
"2018-06-19","20:51:13","Clear","Dry","Very Light","-15,5","18,6","2688","1","18,6","15%","22,6","","Opened","3,714","0","Safe","Windy","5,7",
"2018-06-19","20:51:23","Clear","Dry","Very Light","-15,8","18,5","2688","1","18,5","15%","22,6","","Opened","3,712","0","Safe","Windy","6,8",
"2018-06-19","20:51:33","Clear","Dry","Very Light","-15,8","18,5","2688","1","18,5","15%","22,6","","Opened","3,744","0","Safe","Windy","7,5",
"2018-06-19","20:51:43","Clear","Dry","Very Light","-15,7","18,5","2688","1","18,5","15%","22,6","","Opened","3,720","0","Safe","Windy","7,8",
"2018-06-19","20:51:53","Clear","Dry","Very Light","-15,6","18,5","2688","1","18,5","15%","22,6","","Opened","3,697","0","Safe","Windy","7,8",
"2018-06-19","20:52:03","Clear","Dry","Very Light","-15,8","18,5","2688","1","18,5","15%","22,6","","Opened","3,698","0","Safe","Windy","7,0",
"2018-06-19","20:52:13","Clear","Dry","Very Light","-15,8","18,4","2688","1","18,4","15%","22,6","","Opened","3,697","0","Safe","Windy","7,7",
"2018-06-19","20:52:23","Clear","Dry","Very Light","-15,8","18,4","2688","1","18,4","15%","22,5","","Opened","3,698","0","Safe","Windy","7,2",
"2018-06-19","20:52:33","Clear","Dry","Very Light","-15,8","18,4","2688","1","18,4","15%","22,5","","Opened","3,727","0","Safe","Windy","6,5",
"2018-06-19","20:52:43","Clear","Dry","Very Light","-15,8","18,4","2688","1","18,4","15%","22,5","","Opened","3,697","0","Safe","Windy","6,5",
"2018-06-19","20:52:53","Clear","Dry","Very Light","-15,7","18,4","2688","1","18,4","15%","22,5","","Opened","3,701","0","Safe","Windy","6,7",
"2018-06-19","20:53:03","Clear","Dry","Very Light","-15,8","18,4","2688","1","18,4","15%","22,5","","Opened","3,698","0","Safe","Windy","7,0",
